,FacilityName,Violation,DispositionDate,fines,non_alert_disposition_type,license_revoked,alert,Address,City,State,Zip
522,FONTINA GRILLE,Sale To Minor,03/21/2017,1000.0,setttled,0,1,801 PLEASANT DRIVE,ROCKVILLE,MD,20850
523,RESTAURANT POLLOS EL MESON,Records Invoice Violation,08/02/2018,500.0,setttled,0,1,615 SOUTH FREDERICK AVENUE,GAITHERSBURG,MD,20877
524,MAMMA LUCIA,Sale To Minor,12/05/2017,2500.0,setttled,0,1,4916 ELM STREET,BETHESDA,MD,20814
525,ISLAND PRIDE OASIS,Records Invoice Violation,01/16/2018,500.0,setttled,0,1,617 SOUTH FREDERICK AVENUE,GAITHERSBURG,MD,20877
526,LESAAC CAFE,Alcohol Awareness Certified Person Not On Premises,06/23/2016,100.0,setttled,0,1,8200 FENTON STREET,SILVER SPRING,MD,20910
527,THE YO YO CAFE,Sale To Minor,11/06/2017,1000.0,setttled,0,1,13843 OUTLET DRIVE,SILVER SPRING,MD,20904
528,MARK'S KITCHEN,Sale To Minor,08/15/2018,1000.0,setttled,0,1,7006 CARROLL AVENUE,TAKOMA PARK,MD,20912
529,FLOR DE LUNA RESTAURANT,Alcohol Awareness Certified Person Not On Premises,02/14/2017,100.0,setttled,0,1,11417 WOODGLEN RD,ROCKVILLE,MD,20852
530,KINGSVIEW BEER & WINE,Sale To Minor,12/13/2016,1000.0,setttled,0,1,13406 KINGSVIEW VILLAGE AVENUE,GERMANTOWN,MD,20874
531,KING FARM WINE & BEER,License Not Properly Displayed,03/17/2017,100.0,setttled,0,0,402 KING FARM BLVD. UNIT 100,ROCKVILLE,MD,20850
532,KADHAI INDIAN CUISINE,Sale To Minor,04/18/2016,1000.0,setttled,0,1,7905 NORFOLK AVENUE,BETHESDA,MD,20814
533,LIMARIA POLLO A LA BRASA,License Not Properly Displayed,02/09/2018,100.0,setttled,0,1,74 BUREAU DRIVE,GAITHERSBURG,MD,20878
534,4935 BAR & KITCHEN,Disorderly House,12/13/2017,2500.0,setttled,0,1,4935 CORDELL AVENUE,BETHESDA,MD,20814
535,MISSON BBQ,Sale To Minor,10/05/2017,1000.0,setttled,0,1,885 ROCKVILLE PIKE,ROCKVILLE,MD,20852
536,SUGO MACARONI BAR,Sale To Minor,02/21/2019,1000.0,setttled,0,1,12505 PARK POTOMAC AVENUE,POTOMAC,MD,20854
537,REDMILL MARKET BEER & WINE,Sale To Minor,10/08/2018,1000.0,setttled,0,1,7248 MUNCASTER MILL ROAD,DERWOOD,MD,20855
538,QDOBA MEXICAN GRILL,Sale To Minor,12/18/2018,1000.0,setttled,0,1,128 ROLLINS AVE.,ROCKVILLE,MD,20852
539,AZUL BAR & GRILL,Disorderly House,09/15/2016,4000.0,hearing,0,0,18749 N. FREDERICK ROAD,GAITHERSBURG,MD,20879
