,FacilityName,Violation,DispositionDate,fines,non_alert_disposition_type,license_revoked,alert,Address,City,State,Zip
657,TED'S MONTANA GRILL,Sale To Minor,09/24/2018,2500.0,setttled,0,1,105 ELLINGTON BOULEVARD,GAITHERSBURG,MD,20878
658,NANTUCKET'S REEF,Sale To Minor,02/19/2019,2500.0,setttled,0,1,9755 GATEWAY DRIVE,ROCKVILLE,MD,20850
659,LEDO PIZZA AND PASTA,Sale To Minor,05/03/2017,1000.0,setttled,0,1,1319 ROCKVILLE PIKE H,ROCKVILLE,MD,20852
660,BLACK'S BAR & KETCHEN,Sale To Minor,04/25/2018,1000.0,setttled,0,1,7750 WOODMONT AVE.,BETHESDA,MD,20814
661,RED LOBSTER-GAITHERSBURG,Sale To Minor,10/11/2018,2500.0,setttled,0,1,15700 SHADY GROVE ROAD,GAITHERSBURG,MD,20877
662,ACAJULTA RESTAURANT,Sale To Minor,09/14/2018,1000.0,setttled,0,1,18554 WOODFIELD ROAD,GAITHERSBURG,MD,20879
663,URBAN CRAWFISH,Refilling Empty/Partially Empty Alcoholic Bottles,04/13/2017,200.0,setttled,0,1,670 QUINCE ORCHARD RD,GAITHERSBURG,MD,20878
664,LAKESIDE BEER AND WINE,Sale To Minor,08/31/2018,1000.0,setttled,0,1,9621 LOST KNIFE RD,GAITHERSBURG,MD,20874
665,LIVE CRAWFISH & SEAFOOD,Sale To Minor,12/10/2018,1000.0,setttled,0,1,765 ROCKVILLE PIKE FG,ROCKVILLE,MD,20852
666,TAKOMA BEVERAGE COMPANY,Sale To Minor,06/01/2018,1000.0,setttled,0,1,6917 LAUREL AVENUE,TAKOMA PARK,MD,20912
667,CALIFORNIA PIZZA KITCHEN,Sale To Minor,07/05/2016,1000.0,setttled,0,1,136 BOARDWALK PLACE,GAITHERSBURG,MD,20878
668,PERUVIAN COUNTRY CHICKEN,Sale To Minor,01/30/2018,1000.0,setttled,0,1,10118 COLESVILLE ROAD,SILVER SPRING,MD,20901
669,MOGOTILLO RESTAURANT,To Intoxicated Patron,04/29/2016,10000.0,hearing+suspension,0,1,7637 NEW HAMPSHIRE AVENUE,TAKOMA PARK,MD,20912
670,MOBY DICK SEAFOOD,Sale To Minor,04/24/2017,1000.0,setttled,0,1,11220 TRIANGLE LANE,WHEATON,MD,20902
671,THE GRILLED OYSTER COMPANY,Sale To Minor,02/09/2017,1000.0,setttled,0,1,7943 TUCKERMAN LANE,POTOMAC,MD,20854
672,LE VIEUX LOGIS,Sale To Minor,11/29/2017,1000.0,setttled,0,1,7925 OLD GEORGETOWN ROAD,BETHESDA,MD,20814
673,BETHESDA CO-OP,Sale To Minor,09/21/2017,1000.0,setttled,0,1,6500 SEVEN LOCKS ROAD,CABIN JOHN,MD,20818
674,CORNER PUB,Sale To Minor,01/08/2018,1000.0,setttled,0,1,10111 SUTHERLAND ROAD,SILVER SPRING,MD,20901
675,FANTASY NAIL SPA,Alcohol Awareness Certified Person Not On Premises,12/07/2018,100.0,setttled,0,1,9321 GEORGIA AVE.,SILVER SPRING,MD,20910
676,PHO VIET STAR,Sale To Minor,02/23/2016,1000.0,setttled,0,1,13825 OUTLET DRIVE,SILVER SPRING,MD,20904
677,TEXAS PARRILLADA,To Intoxicated Patron,08/04/2016,0.0,hearing,0,0,9631 LOST KNIFE ROAD,GAITHERSBURG,MD,20879
678,YU-ZHOU CAFE,Sale To Minor,07/12/2016,1000.0,setttled,0,1,576 NORTH FREDERICK AVENUE,GAITHERSBURG,MD,20877
679,HICKORY BAR & GRILL,Alcohol Awareness Certified Person Not On Premises,09/18/2018,100.0,setttled,0,1,15420 OLD COLUMBIA PIKE,BURTONSVILLE,MD,20866
680,ACAJULTA RESTAURANT,Alcohol Awareness Certified Person Not On Premises,09/14/2018,100.0,setttled,0,1,18554 WOODFIELD ROAD,GAITHERSBURG,MD,20879
681,BECLAWS,Alcohol Awareness Certified Person Not On Premises,06/12/2018,100.0,setttled,0,1,2404 UNIVERSITY BOULEVARD,SILVER SPRING,MD,20902
682,ANDY'S BEER AND WINE,Storage,03/15/2018,600.0,setttled,0,1,15523 NEW HAMPSHIRE AVE,SILVER SPRING,MD,20905
683,SPICE XING,Sale To Minor,05/17/2017,1000.0,setttled,0,1,100 GIBBS STREET B,ROCKVILLE,MD,20850
684,HOLA BEER & WINE,Records Invoice Violation,02/01/2019,500.0,setttled,0,1,8035 SNOUFFER SCHOOL ROAD,GAITHERSBURG,MD,20879
685,REDGATE GOLF COURSE,Sale To Minor,05/30/2017,2500.0,setttled,0,1,14500 AVERY ROAD,ROCKVILLE,MD,20853
686,AGRODOLCE,Sale To Minor,12/03/2018,1000.0,setttled,0,1,21030 FREDERICK ROAD J,GERMANTOWN,MD,20876
687,LA COLOMBIANA RESTAURANT,Dispensing Liquor By Bottle For Consumption Onsite,10/26/2018,1000.0,setttled,0,1,11216 GRANDVIEW AVENUE,WHEATON,MD,20902
688,LA ANTIGUA RESTAURANT,To Intoxicated Patron,08/24/2018,1000.0,setttled,0,1,11260 GEORGIA AVE,WHEATON,MD,20902
689,SIN & GRIN,Sale To Minor,09/25/2018,1000.0,setttled,0,1,353 MAIN STREET,GAITHERSBURG,MD,20878
690,RESTAURANT POLLOS EL MESON,Alcohol Awareness Certified Person Not On Premises,02/07/2018,100.0,setttled,0,1,615 SOUTH FREDERICK AVENUE,GAITHERSBURG,MD,20877
691,LEBANESE TAVERNA,Sale To Minor,11/30/2017,1000.0,setttled,0,1,7141 ARLINGTON ROAD,BETHESDA,MD,20814
692,ARMANDS CHICAGO PIZZERIA,Age Of Employee Violation,02/27/2018,1000.0,setttled,0,1,1909 SEMINARY ROAD,SILVER SPRING,MD,20910
693,RAINBOW SUSHI,Records Invoice Violation,04/25/2018,500.0,setttled,0,1,18076 MATENY RD,GERMANTOWN,MD,20874
694,SUPER BOWL NOODLE HOUSE,Employee Records Not Available When Requested,02/15/2017,500.0,setttled,0,1,785 ROCKVILLE PIKE,ROCKVILLE,MD,20852
695,TANDOORI NIGHTS-BETHESDA,Sale To Minor,03/21/2016,1000.0,setttled,0,1,7236 WOODMONT AVENUE,BETHESDA,MD,20814
696,GROWLERS,Sale To Minor,12/15/2016,1000.0,setttled,0,1,227 E. DIAMOND AVE.,GAITHERSBURG,MD,20877
697,NEW VILLAGE RESTAURANT,Records Invoice Violation,09/11/2017,500.0,setttled,0,1,11540 MIDDLEBROOK ROAD,GERMANTOWN,MD,20876
698,KENSINGTON SUB & PIZZA,Sale To Minor,10/04/2017,1000.0,setttled,0,1,3701 UNIVERSITY BLVD. W.,KENSINGTON,MD,20895
699,THE BURGER JOINT,Sale To Minor,07/12/2016,2500.0,setttled,0,1,229 BOARD WALK PLACE,BETHESDA,MD,20814
700,POOLESVILLE GOLF COURSE,Sale To Minor,12/06/2017,1000.0,setttled,0,1,16601 WEST WILLARD RD,POOLESVILLE,MD,20837
701,SQUIRES ROCK CREEK CHOPHOUSE,Sale To Minor,05/10/2017,1000.0,setttled,0,1,2405 PRICE AVENUE,WHEATON,MD,20902
702,HAMPTON INN & SUITES,Sale To Minor,01/20/2017,1000.0,setttled,0,1,960 FREDERICK AVE,GAITHERSBURG,MD,20879
703,SARDIS FUSION,Failed To Label Products From Dispensing Apparatus,02/13/2018,500.0,setttled,0,1,3418 OLNEYLAYTONSVILLE ROAD,OLNEY,MD,20832
704,EL MARIACHI,Sale To Minor,11/28/2018,1000.0,setttled,0,1,765 ROCKVILLE PIKE C,ROCKVILLE,MD,20852
705,CHIPOTLE MEXICAN GRILL - KENTLANDS,Alcohol Awareness Certified Person Not On Premises,12/13/2016,100.0,setttled,0,1,96 MAIN STREET,GAITHERSBURG,MD,20878
706,BAR LOUIE,To Intoxicated Patron,06/20/2017,1000.0,setttled,0,1,150 GIBBS STREET,ROCKVILLE,MD,20850
707,FOREST GLEN DELI,Sale To Minor,05/24/2016,1000.0,setttled,0,1,536 FOREST GLEN ROAD,SILVER SPRING,MD,20901
708,DIETLES,Sale To Minor,02/06/2018,1000.0,setttled,0,1,11010 ROCKVILLE PIKE,ROCKVILLE,MD,20852
709,WALIA ETHIOPIAN RESTAURANT,Sale To Minor,06/03/2016,1000.0,setttled,0,1,6846 NEW HAMPSHIRE AVE.,TAKOMA PARK,MD,20912
710,FOUR U,Sale To Minor,05/11/2016,2500.0,setttled,0,1,8120 PINEY BRANCH ROAD,SILVER SPRING,MD,20910
711,NEW YORK J & P PIZZA,Alcohol Awareness Certified Person Not On Premises,09/06/2018,100.0,setttled,0,1,26027 RIDGE ROAD,DAMASCUS,MD,20872
712,TARA THAI,Sale To Minor,02/27/2017,1000.0,setttled,0,1,12071 ROCKVILLE PIKE,ROCKVILLE,MD,20852
713,GISELES CREOLE CUISINE,Sale To Minor,10/11/2018,2500.0,setttled,0,1,2407 PRINCE AVENUE,SILVER SPRING,MD,20902
714,ASIA NINE II,Sale To Minor,09/18/2018,1000.0,setttled,0,1,254 CROWN PARK ROAD,GAITHERSBURG,MD,20878
715,PACCI'S TRATTORIA,Sale To Minor,09/28/2018,1000.0,setttled,0,1,6 POST OFFICE,SILVER SPRING,MD,20910
716,PANDORA SEAFOOD HOUSE,Failed To Label Products From Dispensing Apparatus,07/19/2018,100.0,setttled,0,1,36 A MARYLAND AVENUE,ROCKVILLE,MD,20850
717,WHITE OAK CONVENIENCE STORE,Sale To Minor,03/13/2018,1000.0,setttled,0,1,11407 LOCKWOOD DRIVE,SILVER SPRING,MD,20904
718,CHIPOTLE MEXICAN GRILL,Sale To Minor,12/29/2016,1000.0,setttled,0,1,4471 WILLIARD AVENUE,CHEVY CHASE,MD,20815
719,DAWSON'S MARKET,Sale To Minor,09/05/2017,2500.0,setttled,0,1,225 NORTH WASHINGTON,ROCKVILLE,MD,20850
720,SMASHBURGER,Sale To Minor,02/15/2017,1000.0,setttled,0,1,20640 SENECA MEADOWS PARKWAY D1,GERMANTOWN,MD,20867
721,BOMBAY BISTRO,Sale To Minor,02/08/2017,1000.0,setttled,0,1,98 W. MONTGOMERY AVE.,ROCKVILLE,MD,20850
722,SOCIETY RESTAURANT & LOUNGE,Of The Neighborhood,08/29/2018,1000.0,setttled,0,1,8229 GEORGIA AVE,SILVER SPRING,MD,20910
723,EL BOTANERO,Sale To Minor,04/11/2017,1000.0,setttled,0,1,800 PLEASANT DRIVE UNIT 160,ROCKVILLE,MD,20850
724,EL PUENTE DE ORO,Alcohol Awareness Certified Person Not On Premises,02/01/2016,500.0,setttled,0,1,11123 VEIRS MILL ROAD,WHEATON,MD,20902
725,WHEATON WINERY,Sale To Minor,08/08/2018,2500.0,setttled,0,1,2211 UNIVERSITY BLVD. W. B,WHEATON,MD,20902
726,ZENE'S DELI & WORLDMARKET,Sale To Minor,01/08/2018,1000.0,setttled,0,1,8113 FENTON STREET,SILVER SPRING,MD,20910
727,URBAN BAR-B-QUE,License Not Properly Displayed,11/21/2018,100.0,setttled,0,1,10163 NEW HAMPSHIRE AVE,SILVER SPRING,MD,20903
728,KALDI'S COFFEE,Dispensing Liquor By Bottle For Consumption Onsite,08/24/2017,1000.0,setttled,0,1,918 SILVER SPRING AVENUE,SILVER SPRING,MD,20910
729,LA FONDA CHIQUITA CAFE,Alcohol Awareness Certified Person Not On Premises,07/24/2018,100.0,setttled,0,1,6838 NEW HAMPSHIRE AVE.,TAKOMA PARK,MD,20912
730,SEAFOOD IN THE BUFF,Sale To Minor,08/08/2018,1000.0,setttled,0,1,12132 GEORGIA AVE,WHEATON,MD,20902
731,CAFE 20/20,License Not Properly Displayed,01/24/2017,100.0,setttled,0,1,4880 BOILING BROOK PARKWAY,ROCKVILLE,MD,20852
732,ERTTERS SUPERMARKET,Sale To Minor,12/28/2017,1000.0,setttled,0,1,521 DALE DRIVE,SILVER SPRING,MD,20910
733,AKIRA RAMEN IZAKAYA,Alcohol Awareness Certified Person Not On Premises,01/15/2019,100.0,setttled,0,1,1800 ROCKVILLE PIKE UNIT H1,ROCKVILLE,MD,20852
734,LEDO'S LEISURE WORLD,Sale To Minor,04/13/2017,1000.0,setttled,0,1,3850 INTERNATIONAL DRIVE,SILVER SPRING,MD,20906
735,PERUVIAN CHICKEN & GRILL,Sale To Minor,08/09/2018,1000.0,setttled,0,1,26400 RIDGE RD,DAMASCUS,MD,20872
736,BASSETT'S,Sale To Minor,11/09/2017,1000.0,setttled,0,1,19950 FISHER AVE.,POOLESVILLE,MD,20837
737,ODALIS,Sale To Minor,08/29/2018,2500.0,setttled,0,1,8215 GEORGIA AVENUE,SILVER SPRING,MD,20910
738,"KWIK-STOP BEER, WINE & DELI",Sale To Minor,12/07/2018,1000.0,setttled,0,1,15104 FREDERICK ROAD,ROCKVILLE,MD,20850
739,ASI ES MI TIERRA,Alcohol After Permitted Hours,06/24/2016,1000.0,setttled,0,1,2559 ENNALLS AVENUE,WHEATON,MD,20902
740,RUAN THAI,Sale To Minor,07/24/2017,2500.0,setttled,0,1,11407 AMHERST AVE.,WHEATON,MD,20902
741,GODAVARI,Alcohol Awareness Certified Person Not On Premises,09/27/2016,100.0,setttled,0,1,9011 GAITHER ROAD,GAITHERSBURG,MD,20877
742,PANDORA SEAFOOD HOUSE,Records Invoice Violation,06/01/2018,500.0,setttled,0,1,36 A MARYLAND AVENUE,ROCKVILLE,MD,20850
743,HYATT SUMMERFIELD SUITES,Alcohol Awareness Certified Person Not On Premises,06/24/2016,100.0,setttled,0,0,200 SKIDMORE BOULEVARD,GAITHERSBURG,MD,20877
744,WINGSTOP,Sale To Minor,11/21/2018,2500.0,setttled,0,1,20201 GOSHEN ROAD UNIT G,GAITHERSBURG,MD,20879
745,UNION JACK'S,Alcohol Awareness Certified Person Not On Premises,01/25/2018,100.0,setttled,0,1,4915 SAINT ELMO AVE.,BETHESDA,MD,20814
746,ARADA MARKET,Alcohol Awareness Certified Person Not On Premises,10/24/2018,100.0,setttled,0,1,6844 NEW HAMPSHIRE AVE,TAKOMA PARK,MD,20912
747,SOLE D'ITALIA RESTAURANT,Sale To Minor,05/31/2017,2500.0,setttled,0,1,14324 LAYHILL ROAD,SILVER SPRING,MD,20906
748,CAPTAIN'S MARKET,Sale To Minor,03/17/2016,7500.0,hearing,0,1,7607 MACARTHUR BLVD.,CABIN JOHN,MD,20818
749,DOLLAR PLUS STORE #7,Sale To Minor,04/28/2017,1000.0,setttled,0,1,11250 TRIANGLE LANE,SILVER SPRING,MD,20902
750,BOBBY'S BURGER PALACE,Sale To Minor,09/22/2017,1000.0,setttled,0,1,7101 DEMOCRACY BLVD.,BETHESDA,MD,20817
751,RUMBA Y CARBON,Sale To Minor,05/05/2016,2500.0,hearing,0,1,11222 GRANDVIEW AVENUE,GAITHERSBURG,MD,20902
752,MISO CAFE,Alcohol Awareness Certified Person Not On Premises,02/27/2017,100.0,setttled,0,1,33 MARYLAND AVENUE UNIT E,ROCKVILLE,MD,20850
753,MI RANCHO,Sale To Minor,12/20/2017,1000.0,setttled,0,1,8701 RAMSEY LANE,SILVER SPRING,MD,20910
754,CAFE 20/20,Employee Records Not Available When Requested,03/10/2017,500.0,setttled,0,1,4880 BOILING BROOK PARKWAY,ROCKVILLE,MD,20852
755,WOODSIDE DELI,Alcohol Awareness Certified Person Not On Premises,06/09/2017,500.0,setttled,0,1,9329 GEORGIA AVE.,SILVER SPRING,MD,20910
756,LA FOGATA RESTAURANT,Employee Records Not Available When Requested,04/24/2017,500.0,setttled,0,1,2259 BEL PRE ROAD,SILVER SPRING,MD,20906
757,WALIA ETHIOPIAN RESTAURANT,Employee Records Not Available When Requested,10/04/2016,500.0,setttled,0,1,6846 NEW HAMPSHIRE AVE.,TAKOMA PARK,MD,20912
758,CALIFORNIA GRILL,Alcohol Awareness Certified Person Not On Premises,03/13/2018,100.0,setttled,0,1,14 BUREAU DRIVE,GAITHERSBURG,MD,20877
759,CONVENIENT BEER & WINE,Sale To Minor,09/05/2018,1000.0,setttled,0,1,8441 SNOUFFER SCHOOL RD,GAITHERSBURG,MD,20879
760,VILLA MAYA RESTAURANT,Sale To Minor,04/28/2017,1000.0,setttled,0,1,5532 NORBECK ROAD,ROCKVILLE,MD,20853
761,TURNTABLE,License Not Properly Displayed,11/30/2017,100.0,setttled,0,1,4862 CORDELL AVENUE,BETHESDA,MD,20814
762,RUTH'S CHRIS STEAK HOUSE,Sale To Minor,06/10/2016,2500.0,setttled,0,1,7315 WISCONSIN AVE.,BETHESDA,MD,20814
763,HIBACHI SUSHI SUPREME BUFFET,Alcohol Awareness Certified Person Not On Premises,06/14/2018,100.0,setttled,0,1,8 BUREAU DRIVE,GAITHERSBURG,MD,20878
764,KAYPI RESTAURANT,Sale To Minor,02/07/2018,1000.0,setttled,0,1,2005 VEIRS MILL ROAD,ROCKVILLE,MD,20851
765,FUSION BAR & GRILL,Inspections Generally,10/05/2016,0.0,hearing,1,0,15535 NEW HAMPSHIRE AVENUE,SILVER SPRING,MD,20905
766,OUTBACK STEAKHOUSE,Alcohol Awareness Certified Person Not On Premises,04/24/2017,100.0,setttled,0,1,13703 GEORGIA AVEUE,SILVER SPRING,MD,20906
767,SUSHI KO,Sale To Minor,01/06/2017,1000.0,setttled,0,1,5455 WISCONSIN AVENUE,CHEVY CHASE,MD,20815
768,4935 BAR & KITCHEN,Disorderly House,12/13/2017,1000.0,setttled,0,1,4935 CORDELL AVENUE,BETHESDA,MD,20814
769,GESTE FOODS & WINE,Alcohol Awareness Certified Person Not On Premises,02/02/2017,0.0,hearing+suspension,0,0,4801 EDGEMOOR LANE,BETHESDA,MD,20814
770,FUSION BAR & GRILL,Disorderly House,10/05/2016,0.0,hearing,1,0,15535 NEW HAMPSHIRE AVENUE,SILVER SPRING,MD,20905
771,HONEY PIG,Storage,06/14/2018,600.0,setttled,0,1,19727 FREDERICK ROAD,GERMANTOWN,MD,20876
772,MUDDY BRANCH BEER & WINE,Sale To Minor,07/25/2016,1000.0,setttled,0,0,836 MUDDY BRANCH ROAD,GAITHERSBURG,MD,20878
773,POCKET BAR & GRILL,Sale To Minor,05/03/2017,1000.0,setttled,0,1,15535 NEW HAMPSHIRE AVENUE,SILVER SPRING,MD,20905
774,THE DAILY DISH,Storage,12/14/2018,1200.0,setttled,0,1,8301 GRUBB RAOD A,SILVER SPRING,MD,20910
775,MOONLIGHT BAR,Employee Records Not Available When Requested,09/05/2018,500.0,setttled,0,1,8035 SNOUFFER SCHOOL RD,GAITHERSBURG,MD,20879
776,LILIT CAFE,Employee Records Not Available When Requested,12/18/2017,500.0,setttled,0,1,7921 OLD GEORGETOWN RD,BETHESDA,MD,20814
777,WESTLAKE BEER & WINE,Sale To Minor,03/29/2018,1000.0,setttled,0,1,10442 AUTOPARK AVENUE,BETHESDA,MD,20817
778,JOSE'S GRILL,Sale To Minor,09/09/2016,1000.0,setttled,0,1,11423 GEORGIA AVE.,WHEATON,MD,20902
779,GOSHEN PLAZA BEER & WINE,Sale To Minor,08/31/2018,1000.0,setttled,0,1,9150 ROTHBURY DR,MONTGOMERY VILLAGE,MD,20886
780,CAFE DELUXE,Sale To Minor,10/09/2017,1000.0,setttled,0,1,4910 ELM STREET,BETHESDA,MD,20814
781,BAR LOUIE WHEATON,Alcohol Awareness Certified Person Not On Premises,10/19/2018,100.0,setttled,0,1,11160 VEIRS MILL RD,WHEATON,MD,20902
782,CLARKSBURG GROCERIES BEER & WINE,Sale To Minor,10/12/2018,2500.0,setttled,0,1,23329 FREDERICK ROAD,CLARKSBURG,MD,20871
783,DAILY GRILL,Sale To Minor,01/31/2017,2500.0,setttled,0,1,1 BETHESDA METRO CENTER,BETHESDA,MD,20814
784,CHEESE & WINE SHOPPE,To Intoxicated Patron,02/01/2018,2500.0,setttled,0,1,2501 ENNALLS AVE.,WHEATON,MD,20902
785,4935 BAR & KITCHEN,Acts Contrary To Law,12/13/2017,2500.0,setttled,0,1,4935 CORDELL AVENUE,BETHESDA,MD,20814
786,LA MEXICANA,Sale To Minor,08/31/2018,1000.0,setttled,0,1,13016 MIDDLEBROOK ROAD,GERMANTOWN,MD,20874
787,EL AGUILA,Alcohol Awareness Certified Person Not On Premises,07/25/2017,100.0,setttled,0,1,7926 GEORGIA AVENUE,SILVER SPRING,MD,20910
788,LE PAIN QUOTIDIEN,Alcohol Awareness Certified Person Not On Premises,04/04/2018,100.0,setttled,0,1,7140 BETHESDA LANE,BETHESDA,MD,20814
789,PANDORA SEAFOOD HOUSE,Alcohol Awareness Certified Person Not On Premises,07/19/2018,500.0,setttled,0,1,36 A MARYLAND AVENUE,ROCKVILLE,MD,20850
790,SIRIWAN THAI RESTAURANT,Sale To Minor,05/12/2017,1000.0,setttled,0,1,736 CLOVERLY STREET,SILVER SPRING,MD,20905
791,SOCIETY RESTAURANT & LOUNGE,Alcohol After Permitted Hours,02/04/2019,1000.0,setttled,0,1,8229 GEORGIA AVE,SILVER SPRING,MD,20910
792,WOODSIDE DELI,Sale To Minor,01/03/2018,1000.0,setttled,0,1,9329 GEORGIA AVE.,SILVER SPRING,MD,20910
793,EL ANDARIEGO,Sale To Minor,09/07/2018,1000.0,setttled,0,1,5 OLNEY SANDY SPRING ROAD,ASHTON,MD,20861
794,GAITHERSBURG SUPERMARKET,Sale To Minor,08/16/2016,1000.0,setttled,0,1,220 EAST DIAMOND AVENUE,GAITHERSBURG,MD,20877
795,LA COLOMBIANA RESTAURANT,Alcohol Awareness Certified Person Not On Premises,07/03/2017,100.0,setttled,0,1,11216 GRANDVIEW AVENUE,WHEATON,MD,20902
796,WORLD OF BEER,Sale To Minor,12/10/2018,1000.0,setttled,0,1,196 B EAST MONTGOMERY AVE.,ROCKVILLE,MD,20850
797,FOOD STOP MINI MART,Sale To Minor,04/14/2016,2500.0,setttled,0,1,4820 BOILING BROOK PARKWAY,ROCKVILLE,MD,20852
798,NEW YORK J & P PIZZA,Employee Records Not Available When Requested,09/06/2018,500.0,setttled,0,1,26027 RIDGE ROAD,DAMASCUS,MD,20872
799,SLIGO PARK GOLF COURSE SNACK BAR,Sale To Minor,06/02/2016,1000.0,setttled,0,1,9701 SLIGO CREEK PARKWAY,SILVER SPRING,MD,20901
800,MILLER'S ALE HOUSE,Sale To Minor,02/26/2016,2500.0,setttled,0,1,1471 ROCKVILLE PIKE,ROCKVILLE,MD,20852
801,DIAMOND SQUARE BEER & WINE,Sale To Minor,09/07/2018,1000.0,setttled,0,1,38 BUREAU DRIVE,GAITHERSBURG,MD,20878
802,QUINCY'S BAR & GRILLE,To Intoxicated Patron,07/19/2017,1000.0,setttled,0,1,616 QUINCE ORCHARD ROAD,GAITHERSBURG,MD,20878
803,MEXICAN GRILL,Sale To Minor,01/03/2017,1000.0,setttled,0,1,19710 FISHER AVENUE,POOLESVILLE,MD,20837
804,3 STAR CONVENIENCE STORE,Sale To Minor,09/10/2018,1000.0,setttled,0,1,18524 WOODFIELD ROAD,GAITHERSBURG,MD,20879
805,MIDDLEBROOK DISCOUNT B&W,Sale To Minor,08/13/2018,1000.0,setttled,0,1,19601 FREDERICK RD,GERMANTOWN,MD,20876
806,EL SOL SALVADOREAN & MEXICAN RESTAURANT,Records Invoice Violation,09/07/2018,500.0,setttled,0,1,13881 OUTLET DRIVE C,SILVER SPRING,MD,20904
807,TALBOTT BEER & WINE,Sale To Minor,01/30/2017,1000.0,setttled,0,1,1071 ROCKVILLE PIKE,ROCKVILLE,MD,20852
808,TACO BAR,Sale To Minor,09/05/2017,1000.0,setttled,0,1,3 RUSSELL AVE A,GAITHERSBURG,MD,20877
809,QUICK STOP BEER & WINE,Sale To Minor,02/03/2017,1000.0,setttled,0,1,21101 FREDERICK AVENUE,GERMANTOWN,MD,20876
810,URBAN CRAWFISH,Sale To Minor,02/09/2017,1000.0,setttled,0,0,670 QUINCE ORCHARD RD,GAITHERSBURG,MD,20878
811,GISELES CREOLE CUISINE,Sale To Minor,08/14/2017,1000.0,setttled,0,1,2407 PRINCE AVENUE,SILVER SPRING,MD,20902
812,BARKING MAD CAFE,Sale To Minor,09/11/2018,1000.0,setttled,0,1,239 SPECTRUM AVENUE,GAITHERSBURG,MD,20879
813,MINERVA INDIAN CUISINE,Alcohol Awareness Certified Person Not On Premises,04/23/2018,500.0,setttled,0,1,16240 FREDERICK ROAD,GAITHERSBURG,MD,20877
814,LINCOLN'S BAR-B-Q,Sale To Minor,05/01/2018,1000.0,setttled,0,1,931 ELLSWORTH DRIVE,SILVER SPRING,MD,20910
815,CALIFORNIA PIZZA KITCHEN,Sale To Minor,10/17/2017,1000.0,setttled,0,1,7101 DEMOCRACY BLVD.,BETHESDA,MD,20817
816,PANDORA SEAFOOD HOUSE,Refilling Empty/Partially Empty Alcoholic Bottles,07/19/2018,1000.0,setttled,0,1,36 A MARYLAND AVENUE,ROCKVILLE,MD,20850
817,FONTINA GRILLE,Alcohol Awareness Certified Person Not On Premises,08/10/2017,100.0,setttled,0,1,801 PLEASANT DRIVE,ROCKVILLE,MD,20850
818,HIBACHI SUSHI SUPREME BUFFET,Alcohol Awareness Certified Person Not On Premises,12/18/2018,500.0,none,0,1,8 BUREAU DRIVE,GAITHERSBURG,MD,20878
819,SUPER CHICKEN,Alcohol Awareness Certified Person Not On Premises,09/28/2018,500.0,setttled,0,1,12611 H WISTERIA DRIVE,GERMANTOWN,MD,20874
820,BRANDED 72,Alcohol Awareness Certified Person Not On Premises,12/12/2017,500.0,setttled,0,1,387 EAST GUDE DRIVE,ROCKVILLE,MD,20850
821,GUDE DELI,Sale To Minor,02/14/2017,1000.0,setttled,0,1,14809 SOUTHLAWN LANE,ROCKVILLE,MD,20850
822,MAMMA LUCIA,Employee Records Not Available When Requested,12/05/2017,500.0,setttled,0,1,4916 ELM STREET,BETHESDA,MD,20814
823,HIBACHI SUSHI SUPREME BUFFET,Records Invoice Violation,06/14/2018,500.0,setttled,0,1,8 BUREAU DRIVE,GAITHERSBURG,MD,20878
824,ISLAND PRIDE OASIS,License Not Properly Displayed,07/07/2017,100.0,setttled,0,1,617 SOUTH FREDERICK AVENUE,GAITHERSBURG,MD,20877
825,CHIPOTLE MEXICAN GRILL,Sale To Minor,06/24/2016,2500.0,setttled,0,1,7624 OLD GEORGETOWN ROAD,BETHESDA,MD,20814
826,EL SOL SALVADOREAN & MEXICAN RESTAURANT,Alcohol Awareness Certified Person Not On Premises,01/20/2016,500.0,setttled,0,1,13881 OUTLET DRIVE C,SILVER SPRING,MD,20904
827,APPLEBEE'S,Sale To Minor,01/23/2017,1000.0,setttled,0,1,21048 FREDERICK RD,GERMANTOWN,MD,20876
828,FOOD STOP MINI MART,Sale To Minor,06/09/2017,2500.0,setttled,0,1,4820 BOILING BROOK PARKWAY,ROCKVILLE,MD,20852
829,ABI AZTECA GRILL,Records Invoice Violation,12/20/2017,500.0,setttled,0,1,11514 MIDDLEBROOK RD.,GERMANTOWN,MD,20874
830,TIGER BEER WINE DELI,Sale To Minor,02/27/2017,1000.0,setttled,0,1,303 N. WASHINGTON STREET,ROCKVILLE,MD,20850
831,ODALIS,Employee Records Not Available When Requested,06/12/2018,500.0,setttled,0,1,8215 GEORGIA AVENUE,SILVER SPRING,MD,20910
832,OGEI'S CHICKEN & SUBS,To Intoxicated Patron,05/31/2016,0.0,hearing,1,0,293 MUDDY BRANCH ROAD,GAITHERSBURG,MD,20878
833,RUMBA Y CARBON,Employee Records Not Available When Requested,08/31/2018,500.0,setttled,0,1,11222 GRANDVIEW AVENUE,GAITHERSBURG,MD,20902
834,FENWICK BEER & WINE,Sale To Minor,03/03/2016,2500.0,setttled,0,1,1327 FENWICK LANE,SILVER SPRING,MD,20910
835,PERUVIAN CHICKEN & GRILL,Alcohol Awareness Certified Person Not On Premises,07/24/2018,100.0,setttled,0,1,26400 RIDGE RD,DAMASCUS,MD,20872
